data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3,kaiming_in,0.90,0,4,59.58000183105469
cifar10,fc3,xavier,0.92,0,3,59.08000183105469
cifar10,fc3,kaiming_in,0.98,1,5,50.689998626708984
cifar10,fc3,kaiming_in,0.80,1,3,61.83000183105469
cifar10,fc3,xavier,0.94,0,1,57.810001373291016
cifar10,fc3,kaiming_in,0.84,1,5,61.380001068115234
cifar10,fc3,kaiming_in,0.94,0,3,57.779998779296875
cifar10,fc3,xavier,0.94,0,2,57.81999969482422
cifar10,fc3,kaiming_in,0.88,0,2,60.45000076293945
cifar10,fc3,kaiming_out,0.82,0,1,61.58000183105469
cifar10,fc3,xavier,0.88,1,1,60.84000015258789
cifar10,fc3,xavier,0.82,0,5,61.77000045776367
cifar10,fc3,kaiming_in,0.96,1,3,56.04999923706055
cifar10,fc3,xavier,0.84,0,3,61.29999923706055
cifar10,fc3,kaiming_out,0.90,1,5,60.0
cifar10,fc3,kaiming_out,0.82,1,1,61.720001220703125
cifar10,fc3,kaiming_out,0.84,0,2,61.41999816894531
cifar10,fc3,kaiming_in,0.98,0,1,51.849998474121094
cifar10,fc3,kaiming_in,0.98,0,2,50.630001068115234
cifar10,fc3,kaiming_in,0.92,1,2,59.2400016784668
cifar10,fc3,kaiming_in,0.94,0,2,58.2400016784668
cifar10,fc3,xavier,0.98,1,4,51.47999954223633
cifar10,fc3,kaiming_out,0.84,1,2,61.209999084472656
cifar10,fc3,kaiming_in,0.96,0,4,56.20000076293945
cifar10,fc3,xavier,0.86,0,2,60.81999969482422
cifar10,fc3,kaiming_in,0.82,0,5,61.7599983215332
cifar10,fc3,kaiming_out,0.86,1,2,61.2400016784668
cifar10,fc3,kaiming_out,0.80,1,2,61.45000076293945
cifar10,fc3,kaiming_out,0.82,0,4,61.58000183105469
cifar10,fc3,kaiming_in,0.82,1,4,61.79999923706055
cifar10,fc3,kaiming_out,0.88,0,5,60.369998931884766
cifar10,fc3,xavier,0.94,0,4,58.13999938964844
cifar10,fc3,kaiming_in,0.88,1,2,60.90999984741211
cifar10,fc3,kaiming_in,0.96,0,5,56.2400016784668
cifar10,fc3,xavier,0.86,0,1,60.95000076293945
cifar10,fc3,kaiming_in,0.96,0,1,55.97999954223633
cifar10,fc3,kaiming_in,0.98,0,4,50.41999816894531
cifar10,fc3,kaiming_out,0.92,1,3,58.93000030517578
cifar10,fc3,kaiming_out,0.96,0,2,56.709999084472656
cifar10,fc3,kaiming_out,0.82,1,3,61.56999969482422
cifar10,fc3,xavier,0.88,0,5,60.209999084472656
cifar10,fc3,kaiming_in,0.80,0,1,62.220001220703125
cifar10,fc3,kaiming_in,0.90,1,5,59.540000915527344
cifar10,fc3,xavier,0.80,0,3,61.779998779296875
cifar10,fc3,kaiming_in,0.94,1,3,57.58000183105469
cifar10,fc3,xavier,0.96,1,1,56.88999938964844
cifar10,fc3,kaiming_in,0.82,1,3,61.939998626708984
cifar10,fc3,xavier,0.90,1,4,59.75
cifar10,fc3,xavier,0.92,1,1,58.97999954223633
cifar10,fc3,kaiming_out,0.90,1,1,60.040000915527344
cifar10,fc3,kaiming_out,0.88,1,2,59.97999954223633
cifar10,fc3,kaiming_out,0.94,1,1,58.2599983215332
cifar10,fc3,kaiming_in,0.94,0,1,58.400001525878906
cifar10,fc3,kaiming_in,0.86,0,2,60.900001525878906
cifar10,fc3,kaiming_in,0.90,0,5,59.70000076293945
cifar10,fc3,kaiming_in,0.84,1,3,61.54999923706055
cifar10,fc3,kaiming_out,0.96,0,1,56.13999938964844
cifar10,fc3,xavier,0.92,0,2,58.939998626708984
cifar10,fc3,kaiming_out,0.92,1,4,58.68000030517578
cifar10,fc3,kaiming_in,0.84,0,1,61.529998779296875
cifar10,fc3,xavier,0.92,0,5,58.72999954223633
cifar10,fc3,kaiming_out,0.88,1,4,60.54999923706055
cifar10,fc3,kaiming_in,0.88,0,5,60.36000061035156
cifar10,fc3,kaiming_out,0.96,0,3,56.06999969482422
cifar10,fc3,xavier,0.98,1,2,50.91999816894531
cifar10,fc3,xavier,0.94,1,4,58.09000015258789
cifar10,fc3,xavier,0.80,1,5,61.81999969482422
cifar10,fc3,kaiming_in,0.84,0,4,61.38999938964844
cifar10,fc3,xavier,0.96,0,3,56.380001068115234
cifar10,fc3,kaiming_in,0.86,1,3,61.13999938964844
cifar10,fc3,kaiming_out,0.90,1,3,60.060001373291016
cifar10,fc3,xavier,0.92,1,3,59.439998626708984
cifar10,fc3,xavier,0.90,1,3,59.959999084472656
cifar10,fc3,xavier,0.90,0,5,60.150001525878906
cifar10,fc3,xavier,0.88,0,1,60.38999938964844
cifar10,fc3,kaiming_out,0.80,0,2,61.970001220703125
cifar10,fc3,xavier,0.82,1,4,61.939998626708984
cifar10,fc3,xavier,0.84,0,5,61.310001373291016
cifar10,fc3,kaiming_out,0.96,0,4,56.5
cifar10,fc3,kaiming_in,0.86,0,1,61.130001068115234
cifar10,fc3,kaiming_in,0.98,0,3,49.93000030517578
cifar10,fc3,kaiming_in,0.80,0,2,62.0099983215332
cifar10,fc3,xavier,0.82,0,2,62.099998474121094
cifar10,fc3,kaiming_in,0.88,1,1,60.779998779296875
cifar10,fc3,xavier,0.90,0,3,59.86000061035156
cifar10,fc3,xavier,0.96,1,2,56.20000076293945
cifar10,fc3,xavier,0.88,0,3,60.380001068115234
cifar10,fc3,xavier,0.84,0,4,61.849998474121094
cifar10,fc3,kaiming_in,0.82,0,4,61.70000076293945
cifar10,fc3,xavier,0.88,0,4,60.400001525878906
